request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_127,7420.92,affordable_later,wait,2024-10-15:23980,2024-10-15,none,ZAR 66058 available; protect 41000 minimum. Pay ZAR 23980 via wait; finish 2024-10-15. Forecast low 41949.98 through 2024-12-04. Evidence: message_97. Next supported income: 50160 on 2024-09-15.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,ZAR 80711.70 available; protect 42600 minimum. Pay ZAR 25168 via full payment; finish 2025-02-07. Forecast low 43993.49 through 2025-05-08. Next supported income: 55220 on 2025-02-15.
request_129,111.57,not_affordable,not_recommended,none,,none,USD 1088 available; protect 800 minimum. Safe today: 111.57. No accepted plan completes the request by 2026-06-18 while preserving the minimum for 90 days. Evidence: message_99. Next supported income: 1020 on 2026-04-15.
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,USD 2317.46 available; protect 1400 minimum. Pay USD 1978.80 via wait; finish 2025-02-15. Forecast low 1688.43 through 2025-03-06. Evidence: message_100. Next supported income: 2177.28 on 2024-12-15.
request_131,1134.44,not_affordable,not_recommended,none,2025-07-23,none,USD 3387.16 available; protect 1100 minimum. Safe today: 1134.44. No accepted plan completes the request by 2025-07-08 while preserving the minimum for 90 days. Financial capacity for full payment exists on 2025-07-23. Evidence: message_101. Next supported income: 1632 on 2025-05-23.
request_132,313.54,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,USD 1744.55 available; protect 1100 minimum. Pay USD 379.86 via wait; finish 2026-01-15. Forecast low 1373.05 through 2026-04-05. Evidence: message_102. Next supported income: 1193.40 on 2026-01-15.
request_133,0,not_affordable,not_recommended,none,,none,IDR 36824650 available; protect 9986200 minimum. Safe today: 0. No accepted plan completes the request by 2024-03-29 while preserving the minimum for 90 days. Evidence: message_103.
request_134,5515848.58,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,IDR 28020700 available; protect 15902500 minimum. Pay IDR 21831000 via wait; finish 2025-10-15. Forecast low 21418348.58 through 2025-11-02. Next supported income: 24510000 on 2025-08-15.
request_135,283.19,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,USD 1041.10 available; protect 500 minimum. Pay USD 304.80 via full payment; finish 2026-07-06. Forecast low 501.39 through 2026-10-04. Apply stop:event_12413. Evidence: message_104. Next supported income: 828 on 2026-07-15.
request_136,528.5,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,USD 2291.68 available; protect 1100 minimum. Pay USD 560.40 via full payment; finish 2024-06-03. Forecast low 1108.50 through 2024-09-01. Apply reduce_to:event_12498:27.20. Next supported income: 1548 on 2024-06-15.
request_137,29317.32,affordable_later,wait,2026-01-15:80100,2026-01-15,none,INR 139760 available; protect 71800 minimum. Pay INR 80100 via wait; finish 2026-01-15. Forecast low 83070.16 through 2026-02-03. Evidence: message_105. Next supported income: 114000 on 2025-11-15.
request_138,752.76,affordable_with_plan,partial_payment,2026-04-07:752.76|2026-04-15:504.18,2026-04-15,none,EUR 3644.65 available; protect 2300 minimum. Pay EUR 1256.94 via partial payment; finish 2026-04-15. Forecast low 2300 through 2026-07-06. Evidence: message_106. Next supported income: 2695 on 2026-04-15.
request_139,1324.55,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-15,none,USD 3767.84 available; protect 1500 minimum. Pay USD 2408.64 via installments; finish 2024-11-08. Forecast low 1644.55 through 2024-12-03. Next supported income: 1824 on 2024-09-15.
request_140,1428.8,not_affordable,not_recommended,none,,none,ZAR 34679 available; protect 21600 minimum. Safe today: 1428.8. No accepted plan completes the request by 2025-03-04 while preserving the minimum for 90 days. Evidence: message_107. Next supported income: 31900 on 2025-02-15.
request_141,25585.15,not_affordable,not_recommended,none,,none,INR 122545 available; protect 67300 minimum. Safe today: 25585.15. No accepted plan completes the request by 2026-02-12 while preserving the minimum for 90 days. Evidence: message_108. Next supported income: 97000 on 2026-01-15.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,USD 5993.85 available; protect 1700 minimum. Pay USD 1263.60 via full payment; finish 2024-12-05. Forecast low 3102.11 through 2025-03-05. Evidence: message_109. Next supported income: 2040 on 2024-12-15.
request_143,2501.34,affordable_later,wait,2025-07-15:12584,2025-07-15,none,ZAR 20111 available; protect 11300 minimum. Pay ZAR 12584 via wait; finish 2025-07-15. Forecast low 13034.30 through 2025-08-05. Evidence: message_110. Next supported income: 14960 on 2025-05-15.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,USD 1248.08 available; protect 600 minimum. Pay USD 233.34 via full payment; finish 2026-07-04. Forecast low 616.71 through 2026-10-02. Evidence: message_111. Next supported income: 864 on 2026-07-15.
request_145,27650.11,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13409:3335,INR 261013.66 available; protect 155400 minimum. Pay INR 226095.99 via installments; finish 2024-05-21. Forecast low 155693.38 through 2024-06-04. Apply reduce_to:event_13409:3335. Evidence: message_112. Next supported income: 258000 on 2024-03-15.
request_146,16037.1,not_affordable,not_recommended,none,,none,INR 190065 available; protect 108600 minimum. Safe today: 16037.1. No accepted plan completes the request by 2025-10-17 while preserving the minimum for 90 days. Next supported income: 168000 on 2025-08-15.
request_147,477.47,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,EUR 1641.53 available; protect 900 minimum. Pay EUR 1174.89 via installments; finish 2026-06-07. Forecast low 985.84 through 2026-07-04. Evidence: message_113. Next supported income: 1529 on 2026-04-15.
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.40,ZAR 33181.08 available; protect 20000 minimum. Pay ZAR 23131.68 via installments; finish 2024-08-15. Forecast low 20025.21 through 2024-09-05. Apply reduce_to:event_13594:576.40. Evidence: message_114. Next supported income: 35640 on 2024-06-15.
request_149,22401.21,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,ZAR 84358.38 available; protect 42100 minimum. Pay ZAR 38118.09 via installments; finish 2026-01-13. Forecast low 42713.97 through 2026-02-02. Next supported income: 52360 on 2025-11-15.
request_150,328.56,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,EUR 1257.44 available; protect 700 minimum. Pay EUR 515.94 via installments; finish 2026-03-07. Forecast low 856.58 through 2026-04-06. Evidence: message_115. Next supported income: 893.75 on 2026-01-15.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,IDR 83998265 available; protect 31633600 minimum. Pay IDR 26999000 via full payment; finish 2024-09-03. Forecast low 32254800.77 through 2024-12-02. Evidence: message_116. Next supported income: 46170000 on 2024-09-15.
request_152,11084.9,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30|stop:event_13957,"ZAR 28368.77 available; protect 11900 minimum. Pay ZAR 14437.29 via installments; finish 2025-04-09. Forecast low 11953.73 through 2025-05-06. Apply reduce_to:event_14024:234.30, stop:event_13957. Evidence: message_117. Next supported income: 13640 on 2025-02-15."
request_153,155.72,not_affordable,not_recommended,none,,none,USD 1903.60 available; protect 1400 minimum. Safe today: 155.72. No accepted plan completes the request by 2026-09-24 while preserving the minimum for 90 days. Next supported income: 1630.64 on 2026-07-15.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,EUR 4679.40 available; protect 1300 minimum. Pay EUR 1690.83 via installments; finish 2025-02-04. Forecast low 1539.14 through 2025-03-04. Evidence: message_119. Next supported income: 1009.36 on 2024-12-15.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,INR 218050 available; protect 56300 minimum. Pay INR 112500 via full payment; finish 2025-05-06. Forecast low 76602.21 through 2025-08-04. Evidence: message_120. Next supported income: 84000 on 2025-05-15.
request_156,8497.56,affordable_later,wait,2026-06-15:43076,2026-06-15,none,ZAR 42105.30 available; protect 26900 minimum. Pay ZAR 43076 via wait; finish 2026-06-15. Forecast low 35397.56 through 2026-07-02. Evidence: message_121. Next supported income: 32340 on 2026-04-15.
request_157,5397652.52,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,IDR 25805950 available; protect 15714100 minimum. Pay IDR 23503000 via wait; finish 2024-05-15. Forecast low 21111752.52 through 2024-06-03. Evidence: message_122. Next supported income: 23940000 on 2024-03-15.
request_158,226113.86,not_affordable,not_recommended,none,,none,INR 745417.10 available; protect 131400 minimum. Safe today: 226113.86. No accepted plan completes the request by 2025-10-02 while preserving the minimum for 90 days.
request_159,0,not_affordable,not_recommended,none,,none,ZAR 40283.20 available; protect 8700 minimum. Safe today: 0. No accepted plan completes the request by 2026-03-20 while preserving the minimum for 90 days. Evidence: message_123.
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,EUR 2144.61 available; protect 1200 minimum. Pay EUR 1296.15 via installments; finish 2024-08-14. Forecast low 1337.47 through 2024-09-04. Evidence: message_124. Next supported income: 1672 on 2024-06-15.
request_161,6906804.19,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,IDR 41308350 available; protect 23010400 minimum. Pay IDR 21204000 via wait; finish 2026-01-15. Forecast low 29917204.19 through 2026-02-01. Evidence: message_125. Next supported income: 26790000 on 2025-11-15.
request_162,1255094.8,not_affordable,not_recommended,none,,none,IDR 34607300 available; protect 24161100 minimum. Safe today: 1255094.8. No accepted plan completes the request by 2026-08-26 while preserving the minimum for 90 days. Evidence: message_126. Next supported income: 29070000 on 2026-07-15.
request_163,8809583.4,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,IDR 49519524.26 available; protect 26728700 minimum. Pay IDR 20076159.99 via installments; finish 2024-11-11. Forecast low 29086344.10 through 2024-12-06. Apply reduce_to:event_15018:664050. Evidence: message_127. Next supported income: 30400000 on 2024-09-15.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,IDR 75429169.20 available; protect 29550500 minimum. Pay IDR 28098720 via installments; finish 2025-04-08. Forecast low 31254660.60 through 2025-05-05. Evidence: message_128. Next supported income: 26562000 on 2025-02-15.
request_165,68752.36,affordable_with_plan,full_payment,2026-04-06:80600,,reduce_to:event_15136:1048|stop:event_15135,"INR 366705 available; protect 95000 minimum. Pay INR 80600 via full payment; finish 2026-04-06. Forecast low 98117.23 through 2026-07-05. Apply reduce_to:event_15136:1048, stop:event_15135. Evidence: message_129."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,USD 9001.95 available; protect 1700 minimum. Pay USD 3023.91 via installments; finish 2025-02-03. Forecast low 3731.71 through 2025-03-03. Evidence: message_130. Next supported income: 2340 on 2024-12-15.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,ZAR 105090.30 available; protect 31200 minimum. Pay ZAR 43802 via full payment; finish 2025-05-05. Forecast low 36328.16 through 2025-08-03. Evidence: message_131. Next supported income: 47740 on 2025-05-23.
request_168,34881.33,affordable_with_plan,partial_payment,2026-01-07:34881.33|2026-01-15:14498.67,2026-01-15,none,INR 173843 available; protect 114400 minimum. Pay INR 49380 via partial payment; finish 2026-01-15. Forecast low 114400 through 2026-04-07. Evidence: message_132. Next supported income: 137150 on 2026-01-15.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,ZAR 77544.50 available; protect 18700 minimum. Pay ZAR 41976 via full payment; finish 2024-03-04. Forecast low 23799.65 through 2024-06-02. Next supported income: 33000 on 2024-03-15.
request_170,29866830.92,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,IDR 69446998.40 available; protect 24715800 minimum. Pay IDR 38413440 via installments; finish 2025-10-01. Forecast low 25610005.95 through 2025-11-04. Next supported income: 38760000 on 2025-08-15.
request_171,33.02,not_affordable,not_recommended,none,,none,EUR 810.65 available; protect 500 minimum. Safe today: 33.02. No accepted plan completes the request by 2026-09-10 while preserving the minimum for 90 days. Next supported income: 693 on 2026-07-15.
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,ZAR 50942.40 available; protect 27200 minimum. Pay ZAR 10200 via partial payment; finish 2024-06-15. Forecast low 27200 through 2024-09-03. Next supported income: 34540 on 2024-06-15.
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,INR 162290.53 available; protect 79100 minimum. Pay INR 117519.99 via installments; finish 2026-01-16. Forecast low 81564.57 through 2026-02-05. Evidence: message_137. Next supported income: 106995.72 on 2025-11-15.
request_174,1075.25,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_15976:16.80|stop:event_15975,"EUR 3266.04 available; protect 700 minimum. Pay EUR 1192.05 via installments; finish 2026-06-03. Forecast low 711.24 through 2026-07-03. Apply reduce_to:event_15976:16.80, stop:event_15975."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,EUR 4760.25 available; protect 1700 minimum. Pay EUR 2346.30 via full payment; finish 2024-09-06. Forecast low 1983.40 through 2024-12-05. Evidence: message_138. Next supported income: 1924.56 on 2024-09-15.
request_176,26.37,not_affordable,not_recommended,none,,none,EUR 1286.95 available; protect 600 minimum. Safe today: 26.37. No accepted plan completes the request by 2025-02-27 while preserving the minimum for 90 days. Evidence: message_139. Next supported income: 508.20 on 2025-02-15.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,USD 2987.24 available; protect 1300 minimum. Pay USD 1017.60 via full payment; finish 2026-01-05. Forecast low 1390.51 through 2026-04-05. Evidence: message_140. Next supported income: 1731.60 on 2026-01-15.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,EUR 7959.30 available; protect 1400 minimum. Pay EUR 3055.62 via installments; finish 2025-02-07. Forecast low 3270.17 through 2025-03-07. Evidence: message_141. Next supported income: 2376 on 2024-12-15.
request_179,6584779.79,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,IDR 79388050 available; protect 41430800 minimum. Pay IDR 41648000 via wait; finish 2025-07-15. Forecast low 48015579.79 through 2025-08-02. Next supported income: 48830000 on 2025-05-15.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,INR 134980 available; protect 37300 minimum. Pay INR 66500 via full payment; finish 2026-07-06. Forecast low 47440.38 through 2026-10-04. Evidence: message_143. Next supported income: 59000 on 2026-07-15.
request_181,405.77,not_affordable,not_recommended,none,,none,USD 3362 available; protect 2000 minimum. Safe today: 405.77. No accepted plan completes the request by 2024-04-07 while preserving the minimum for 90 days. Next supported income: 2580 on 2024-03-15.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,ZAR 125010.30 available; protect 31100 minimum. Pay ZAR 65714 via full payment; finish 2025-08-05. Forecast low 42771.26 through 2025-11-03. Next supported income: 52800 on 2025-08-15.
request_183,23534795.58,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,IDR 42156223.74 available; protect 11878300 minimum. Pay IDR 27940640.01 via installments; finish 2026-06-09. Forecast low 17127245.73 through 2026-07-06. Next supported income: 20899995.60 on 2026-04-15.
request_184,12390.57,not_affordable,not_recommended,none,,none,INR 163160 available; protect 110800 minimum. Safe today: 12390.57. No accepted plan completes the request by 2024-07-30 while preserving the minimum for 90 days. Next supported income: 131994.72 on 2024-06-15.
request_185,309.85,affordable_with_plan,wait,2026-01-15:1257.30,,reduce_to:event_17120:33.50,EUR 2083.40 available; protect 1300 minimum. Pay EUR 1257.30 via wait; finish 2026-01-15. Forecast low 1457.81 through 2026-02-04. Apply reduce_to:event_17120:33.50. Evidence: message_147. Next supported income: 1562 on 2025-11-15.
request_186,4156.69,affordable_later,wait,2026-03-15:26554,2026-03-15,none,ZAR 44863.50 available; protect 22000 minimum. Pay ZAR 26554 via wait; finish 2026-03-15. Forecast low 23296.29 through 2026-04-03. Evidence: message_148. Next supported income: 31889 on 2026-01-15.
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,INR 195735 available; protect 128300 minimum. Pay INR 187500 via wait; finish 2024-11-15. Forecast low 166144.44 through 2024-12-04. Evidence: message_149. Next supported income: 145000 on 2024-09-15.
request_188,102.93,not_affordable,not_recommended,none,,none,EUR 1485.30 available; protect 900 minimum. Safe today: 102.93. No accepted plan completes the request by 2025-03-04 while preserving the minimum for 90 days. Evidence: message_150. Next supported income: 1386 on 2025-02-15.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,EUR 1147.66 available; protect 400 minimum. Pay EUR 488.40 via full payment; finish 2026-07-04. Forecast low 474.49 through 2026-10-02. Evidence: message_151. Next supported income: 627 on 2026-07-15.
request_190,478.56,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,EUR 3155.80 available; protect 1600 minimum. Pay EUR 2557.50 via wait; finish 2025-02-15. Forecast low 1894.66 through 2025-03-06. Next supported income: 2849 on 2024-12-15.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,EUR 1591.06 available; protect 500 minimum. Pay EUR 664.40 via full payment; finish 2025-05-03. Forecast low 601.50 through 2025-08-01. Evidence: message_152. Next supported income: 814 on 2025-05-15.
request_192,107.8,not_affordable,not_recommended,none,,none,USD 1384.80 available; protect 1000 minimum. Safe today: 107.8. No accepted plan completes the request by 2026-05-11 while preserving the minimum for 90 days. Next supported income: 813.60 on 2026-04-15.
request_193,33.63,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,EUR 1310.62 available; protect 1000 minimum. Pay EUR 1260.69 via installments; finish 2024-05-22. Forecast low 1033.63 through 2024-06-05. Evidence: message_153. Next supported income: 1750.32 on 2024-03-15.
request_194,33083.27,affordable_later,wait,2025-10-23:132800,2025-10-23,none,INR 208630 available; protect 113600 minimum. Pay INR 132800 via wait; finish 2025-10-23. Forecast low 146683.27 through 2025-11-02. Evidence: message_154. Next supported income: 137000 on 2025-08-23.
request_195,1002.69,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,EUR 2011.18 available; protect 700 minimum. Pay EUR 1217.22 via installments; finish 2026-03-10. Forecast low 1064.85 through 2026-04-06. Evidence: message_155. Next supported income: 1222.65 on 2026-01-15.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,EUR 1575.65 available; protect 500 minimum. Pay EUR 762.30 via full payment; finish 2024-06-03. Forecast low 664.77 through 2024-09-01. Next supported income: 814 on 2024-06-15.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,IDR 96081218.26 available; protect 26245900 minimum. Pay IDR 52976559.99 via installments; finish 2026-01-14. Forecast low 27826624.09 through 2026-02-03. Evidence: message_156. Next supported income: 38190000 on 2025-11-15.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,INR 395190 available; protect 124300 minimum. Pay INR 185800 via full payment; finish 2026-07-07. Forecast low 157332.65 through 2026-10-05. Evidence: message_157. Next supported income: 176000 on 2026-07-15.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,IDR 136691818.94 available; protect 25359500 minimum. Pay IDR 24620960.01 via installments; finish 2024-11-08. Forecast low 34835125.68 through 2024-12-03. Evidence: message_158.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,IDR 53886150 available; protect 20114600 minimum. Pay IDR 21717000 via full payment; finish 2025-02-06. Forecast low 24351759.97 through 2025-05-07. Next supported income: 22610000 on 2025-02-15.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,IDR 77973400 available; protect 17304500 minimum. Pay IDR 23997000 via full payment; finish 2026-04-03. Forecast low 18980014.97 through 2026-07-02. Evidence: message_160.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,INR 366065 available; protect 147800 minimum. Pay INR 123900 via full payment; finish 2024-12-05. Forecast low 166645.67 through 2025-03-05. Next supported income: 180000 on 2024-12-15.
request_203,861.09,not_affordable,not_recommended,none,,none,EUR 8327.38 available; protect 1400 minimum. Safe today: 861.09. No accepted plan completes the request by 2025-07-08 while preserving the minimum for 90 days.
request_204,572.06,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,EUR 2626.28 available; protect 1300 minimum. Pay EUR 588.74 via wait; finish 2026-01-15. Forecast low 1415.68 through 2026-04-04. Evidence: message_162. Next supported income: 2024 on 2026-01-15.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,IDR 31462900 available; protect 13994300 minimum. Pay IDR 10621000 via full payment; finish 2024-03-06. Forecast low 16168885.24 through 2024-06-04. Next supported income: 18240000 on 2024-03-15.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,EUR 5231.14 available; protect 900 minimum. Pay EUR 1460.88 via installments; finish 2025-09-28. Forecast low 1223.70 through 2025-11-01.
request_207,4516.76,affordable_later,wait,2026-07-15:11830,2026-07-15,none,ZAR 26729.60 available; protect 13600 minimum. Pay ZAR 11830 via wait; finish 2026-07-15. Forecast low 15402.96 through 2026-10-03. Next supported income: 21120 on 2026-07-15.
request_208,3040802.28,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,IDR 16928800 available; protect 10470700 minimum. Pay IDR 4413000 via wait; finish 2024-06-15. Forecast low 12278719.21 through 2024-09-05. Evidence: message_163. Next supported income: 13870000 on 2024-06-15.
request_209,1660.21,not_affordable,not_recommended,none,,none,ZAR 27025.10 available; protect 18400 minimum. Safe today: 1660.21. No accepted plan completes the request by 2025-11-25 while preserving the minimum for 90 days. Next supported income: 21120 on 2025-11-15.
request_210,826.61,affordable_with_plan,partial_payment,2026-04-06:826.61|2026-04-15:533.41,2026-04-15,none,USD 3525.32 available; protect 2000 minimum. Pay USD 1360.02 via partial payment; finish 2026-04-15. Forecast low 2000 through 2026-07-05. Evidence: message_164. Next supported income: 2916 on 2026-04-15.
request_211,252.02,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,EUR 2727.89 available; protect 1500 minimum. Pay EUR 1788.60 via wait; finish 2024-11-15. Forecast low 1752.02 through 2024-12-02. Next supported income: 1884.96 on 2024-09-15.
request_212,4092864.87,not_affordable,not_recommended,none,,none,IDR 51923800 available; protect 29579800 minimum. Safe today: 4092864.87. No accepted plan completes the request by 2025-02-28 while preserving the minimum for 90 days. Evidence: message_165. Next supported income: 33440000 on 2025-02-23.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,reduce_to:event_19550:34.80,USD 12051.94 available; protect 2100 minimum. Pay USD 3496.89 via installments; finish 2026-03-22. Forecast low 2217.42 through 2026-04-07. Apply reduce_to:event_19550:34.80. Evidence: message_166.
request_214,41113.72,affordable_with_plan,partial_payment,2024-12-04:41113.72|2024-12-15:28636.28,2024-12-15,none,INR 292180 available; protect 174900 minimum. Pay INR 69750 via partial payment; finish 2024-12-15. Forecast low 174900 through 2025-03-04. Next supported income: 241990.32 on 2024-12-15.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,ZAR 93951.16 available; protect 15700 minimum. Pay ZAR 31185.45 via installments; finish 2025-07-04. Forecast low 16981.82 through 2025-08-04. Evidence: message_168.
request_216,483.1,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,USD 2966.80 available; protect 1800 minimum. Pay USD 3332.40 via wait; finish 2026-09-15. Forecast low 2283.10 through 2026-10-01. Evidence: message_169. Next supported income: 2424 on 2026-07-15.
request_217,19583.4,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,ZAR 58401.97 available; protect 26800 minimum. Pay ZAR 38667.21 via installments; finish 2024-05-20. Forecast low 27506.15 through 2024-06-03. Next supported income: 35420 on 2024-03-15.
request_218,24611852.52,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,IDR 72419614.80 available; protect 34477200 minimum. Pay IDR 63587679.99 via installments; finish 2025-10-02. Forecast low 37893159.19 through 2025-11-05. Next supported income: 48640000 on 2025-08-15.
request_219,711.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,EUR 2815.51 available; protect 1100 minimum. Pay EUR 1740.03 via installments; finish 2026-06-06. Forecast low 1231.16 through 2026-07-03. Evidence: message_170. Next supported income: 1914 on 2026-04-15.
request_220,72.35,not_affordable,not_recommended,none,,none,EUR 1487.32 available; protect 1100 minimum. Safe today: 72.35. No accepted plan completes the request by 2024-07-03 while preserving the minimum for 90 days. Evidence: message_171. Next supported income: 1346.40 on 2024-06-15.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,INR 268305 available; protect 81500 minimum. Pay INR 109800 via full payment; finish 2025-11-03. Forecast low 102788.52 through 2026-02-01. Evidence: message_172. Next supported income: 118000 on 2025-11-15.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,ZAR 118101.70 available; protect 27300 minimum. Pay ZAR 34078 via full payment; finish 2026-01-05. Forecast low 64070.82 through 2026-04-05. Evidence: message_173. Next supported income: 35200 on 2026-01-15.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,EUR 2255.51 available; protect 800 minimum. Pay EUR 898.70 via full payment; finish 2024-09-07. Forecast low 997.42 through 2024-12-06. Next supported income: 1309 on 2024-09-15.
request_224,10063394.35,affordable_with_plan,partial_payment,2025-02-04:10063394.35|2025-02-15:263605.65,2025-02-15,none,IDR 49969400 available; protect 22187600 minimum. Pay IDR 10327000 via partial payment; finish 2025-02-15. Forecast low 22187600 through 2025-05-05. Evidence: message_174. Next supported income: 36100000 on 2025-02-15.
request_225,10573358.43,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,IDR 35791159.60 available; protect 17670700 minimum. Pay IDR 22941360 via installments; finish 2026-09-18. Forecast low 21958089.53 through 2026-10-04. Evidence: message_175. Next supported income: 24890000 on 2026-07-15.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,INR 581180 available; protect 209400 minimum. Pay INR 157000 via full payment; finish 2024-12-03. Forecast low 249379.21 through 2025-03-03. Evidence: message_176. Next supported income: 260000 on 2024-12-15.
request_227,7567.27,not_affordable,not_recommended,none,,none,INR 105655 available; protect 62900 minimum. Safe today: 7567.27. No accepted plan completes the request by 2025-06-20 while preserving the minimum for 90 days. Next supported income: 94000 on 2025-05-15.
